"point_id","x","y"
"215","-7.89758","-15.14384"
"216","-8.17918","-14.97432"
"217","-8.44760","-14.79423"
"218","-8.70546","-14.60452"
"219","-8.95538","-14.40613"
"220","-9.20000","-14.20000"
"221","-9.50124","-13.90920"
"222","-9.77182","-13.58958"
"223","-10.01648","-13.24619"
"224","-10.23996","-12.88406"
"225","-10.44694","-12.50823"
"226","-10.64218","-12.12374"
"227","-10.83038","-11.73564"
"228","-11.01626","-11.34895"
"229","-11.20456","-10.96873"
"230","-11.40000","-10.60000"
"231","-11.58224","-10.22809"
"232","-11.73730","-9.83561"
"233","-11.87520","-9.43127"
"234","-12.00596","-9.02377"
"235","-12.13954","-8.62181"
"236","-12.28596","-8.23412"
"237","-12.45520","-7.86938"
"238","-12.65730","-7.53631"
"239","-12.90224","-7.24361"
"240","-13.20000","-7.00000"
"241","-13.42644","-6.86226"
"242","-13.67216","-6.73469"
"243","-13.93436","-6.61829"
"244","-14.21030","-6.51407"
"245","-14.49724","-6.42300"
"246","-14.79238","-6.34610"
"247","-15.09300","-6.28435"
"248","-15.39630","-6.23875"
"249","-15.69956","-6.21030"
"250","-16.00000","-6.20000"
"251","-16.33424","-6.21678"
"252","-16.66538","-6.26572"
"253","-16.99676","-6.34170"
"254","-17.33164","-6.43960"
"255","-17.67336","-6.55428"
"256","-18.02522","-6.68062"
"257","-18.39050","-6.81348"
"258","-18.77252","-6.94776"
"259","-19.17460","-7.07830"
"260","-19.60000","-7.20000"
"261","-20.29084","-7.38007"
"262","-21.03492","-7.57036"
"263","-21.82470","-7.76953"
"264","-22.65266","-7.97625"
"265","-23.51126","-8.18917"
"266","-24.39294","-8.40696"
"267","-25.29020","-8.62827"
"268","-26.19548","-8.85178"
"269","-27.10126","-9.07613"
"270","-28.00000","-9.30000"
"271","-29.02640","-9.55568"
"272","-30.07784","-9.81621"
"273","-31.14940","-10.08095"
"274","-32.23616","-10.34928"
"275","-33.33320","-10.62059"
"276","-34.43558","-10.89425"
"277","-35.53836","-11.16965"
"278","-36.63664","-11.44615"
"279","-37.72550","-11.72314"
"280","-38.80000","-12.00000"
"281","-39.87972","-12.27428"
"282","-40.99884","-12.54998"
"283","-42.13926","-12.82704"
"284","-43.28290","-13.10540"
"285","-44.41168","-13.38502"
"286","-45.50754","-13.66584"
"287","-46.55236","-13.94780"
"288","-47.52812","-14.23085"
"289","-48.41668","-14.51493"
"290","-49.20000","-14.80000"
"291","-49.66812","-15.00820"
"292","-50.11772","-15.24855"
"293","-50.54510","-15.50747"
"294","-50.94648","-15.77140"
"295","-51.31816","-16.02675"
"296","-51.65638","-16.25997"
"297","-51.95740","-16.45747"
"298","-52.21752","-16.60569"
"299","-52.43296","-16.69106"
"300","-52.60000","-16.70000"
"301","-52.72780","-16.59460"
"302","-52.77432","-16.37436"
"303","-52.74942","-16.06030"
"304","-52.66292","-15.67343"
"305","-52.52462","-15.23477"
"306","-52.34434","-14.76532"
"307","-52.13192","-14.28610"
"308","-51.89718","-13.81814"
"309","-51.64994","-13.38243"
"310","-51.40000","-13.00000"
"311","-51.14010","-12.65160"
"312","-50.85896","-12.30904"
"313","-50.55454","-11.97168"
"314","-50.22480","-11.63885"
"315","-49.86770","-11.30988"
"316","-49.48116","-10.98413"
"317","-49.06318","-10.66093"
"318","-48.61168","-10.33961"
"319","-48.12464","-10.01952"
"320","-47.60000","-9.70000"
"321","-46.85580","-9.29334"
"322","-46.02078","-8.88815"
"323","-45.11102","-8.48528"
"324","-44.14260","-8.08555"
"325","-43.13158","-7.68980"
"326","-42.09402","-7.29887"
"327","-41.04602","-6.91359"
"328","-40.00364","-6.53480"
"329","-38.98294","-6.16332"
"330","-38.00000","-5.80000"
"331","-37.09746","-5.46663"
"332","-36.19280","-5.14077"
"333","-35.28704","-4.82156"
"334","-34.38116","-4.50813"
"335","-33.47618","-4.19959"
"336","-32.57312","-3.89509"
"337","-31.67296","-3.59375"
"338","-30.77672","-3.29471"
"339","-29.88540","-2.99708"
"340","-29.00000","-2.70000"
"341","-28.15094","-2.42764"
"342","-27.28238","-2.17015"
"343","-26.40408","-1.92217"
"344","-25.52574","-1.67829"
"345","-24.65712","-1.43315"
"346","-23.80792","-1.18135"
"347","-22.98788","-0.91752"
"348","-22.20672","-0.63627"
"349","-21.47420","-0.33223"
"350","-20.80000","0.00000"
"351","-20.19690","0.35372"
"352","-19.64936","0.72624"
"353","-19.14848","1.11603"
"354","-18.68532","1.52157"
"355","-18.25100","1.94133"
"356","-17.83658","2.37378"
"357","-17.43320","2.81740"
"358","-17.03190","3.27067"
"359","-16.62380","3.73204"
"360","-16.20000","4.20000"
"361","-15.69026","4.77357"
"362","-15.19136","5.37368"
"363","-14.70176","5.99507"
"364","-14.21982","6.63249"
"365","-13.74396","7.28071"
"366","-13.27258","7.93447"
"367","-12.80410","8.58853"
"368","-12.33690","9.23763"
"369","-11.86940","9.87654"
"370","-11.40000","10.50000"
"371","-10.95260","11.08833"
"372","-10.50694","11.68196"
"373","-10.06296","12.27738"
"374","-9.62064","12.87106"
"375","-9.17996","13.45950"
"376","-8.74090","14.03918"
"377","-8.30338","14.60658"
"378","-7.86742","15.15820"
"379","-7.43298","15.69051"
"380","-7.00000","16.20000"
"381","-6.66472","16.60020"
"382","-6.34470","17.00400"
"383","-6.03384","17.40587"
"384","-5.72598","17.80028"
"385","-5.41504","18.18169"
"386","-5.09490","18.54456"
"387","-4.75944","18.88337"
"388","-4.40254","19.19256"
"389","-4.01810","19.46662"
"390","-3.60000","19.70000"
"391","-3.27976","19.84412"
"392","-2.94284","19.97554"
"393","-2.59216","20.09369"
"394","-2.23070","20.19798"
"395","-1.86136","20.28783"
"396","-1.48712","20.36266"
"397","-1.11092","20.42187"
"398","-0.73570","20.46489"
"399","-0.36442","20.49112"
